"component_tag";"name";"location";"condition";"section_id"
"CA1000020";"Microscopes";"ENCP50006101";1;"CAL284010"
"CA1000021";"Organism samples";"ENCP50006102";1;"CAL284010"
"CA1000022";"Food samples";"ENCP50006103";1;"CAL284010"
"CA1000023";"Forceps";"ENCP50006104";1;"CAL284010"
"CA1000024";"Probes";"ENCP50006105";1;"CAL284010"
"CA1000025";"Scalpels";"ENCP50006106";1;"CAL284010"
"CA1000026";"Dyes";"ENCP50006107";1;"CAL284010"
"CA1000027";"Indicators";"ENCP50006108";1;"CAL284010"
"CA1000028";"Gloves";"ENCP50006109";1;"CAL284010"
"CA1000029";"Lab coats";"ENCP50006110";1;"CAL284010"
"CA1000030";"Drying rack";"ENCP50006111";1;"CAL284010"
"CA1000031";"Flint";"ENCP50006112";1;"CAL284010"
"CA1000032";"Graduated cylinders";"ENCP50006113";1;"CAL284010"
"CA1000033";"Stopwatch";"ENCP50006114";1;"CAL284010"
"CA1000034";"Test Strip";"ENCP50006115";1;"CAL284010"
"CA1000035";"Ph test strips";"ENCP50006201";1;"CAL284011"
"CA1000036";"Dissection equipment ";"ENCP50006202";1;"CAL284011"
"CA1000037";"Tissue";"ENCP50006203";1;"CAL284011"
"CA1000038";"Cold storage";"ENCP50006204";1;"CAL284011"
"CA1000039";"Spatula";"ENCP50006205";1;"CAL284011"
"CA1000040";"Scoopulas";"ENCP50006206";1;"CAL284011"
"CA1000041";"Blades";"ENCP50006207";1;"CAL284011"
"CA1000042";"Friction apparatus";"ENCP50006208";1;"CAL284011"
"CA1000043";"Tool box";"ENCP50006209";1;"CAL284011"
"CA1000044";"Pumps";"ENCP50006210";1;"CAL284011"
"CA1000045";"Graphs";"ENCP50006211";1;"CAL284011"
"CA1000046";"Test tube";"ENCP50006212";1;"CAL284011"
"CA1000047";"Petri Dishes";"ENCP50006213";1;"CAL284011"
"CA1000048";"Flasks";"ENCP50006214";1;"CAL284011"
"CA1000049";"Beakers";"ENCP50006215";1;"CAL284011"
"CA1000050";"Funnel";"ENCP50006301";1;"CAL284012"
"CA1000051";"Mortar";"ENCP50006302";1;"CAL284012"
"CA1000052";"Pestle";"ENCP50006303";1;"CAL284012"
"CA1000053";"Mall probe";"ENCP50006304";1;"CAL284012"
"CA1000054";"Test tube holder";"ENCP50006305";1;"CAL284012"
"CA1000055";"Thermometer";"ENCP50006306";1;"CAL284012"
"CA1000056";"Wire gauze";"ENCP50006307";1;"CAL284012"
"CA1000057";"Side arm flask";"ENCP50006308";1;"CAL284012"
"CA1000058";"Carboy";"ENCP50006309";1;"CAL284012"
"CA1000059";"Centrifuge";"ENCP50006310";1;"CAL284012"
"CA1000060";"Inoculating loop";"ENCP50006311";1;"CAL284012"
"CA1000061";"Hot fingers";"ENCP50006312";1;"CAL284012"
"CA1000062";"Safety goggles";"ENCP50006313";1;"CAL284012"
"CA1000063";"Latex gloves";"ENCP50006314";1;"CAL284012"
"CA1000064";"Scalpel handle";"ENCP50006315";1;"CAL284012"
"CA1000065";"Dissecting scissors";"ENCP50006401";1;"CAL284013"
"CA1000066";"Hotplate";"ENCP50006402";1;"CAL284013"
"CA1000067";"Iron ring";"ENCP50006403";1;"CAL284013"
"CA1000068";"Rubber stoppers";"ENCP50006404";1;"CAL284013"
"CA1000069";"Volumetric pipette";"ENCP50006405";1;"CAL284013"
"CA1000070";"Measuring pipette";"ENCP50006406";1;"CAL284013"
"CA1000071";"Ring stand";"ENCP50006407";1;"CAL284013"
"CA1000072";"Cork borer";"ENCP50006408";1;"CAL284013"
"CA1000073";"Parafilm";"ENCP50006409";1;"CAL284013"
"CA1000074";"Microscope slide";"ENCP50006410";1;"CAL284013"
"CA1000075";"Coverslip";"ENCP50006411";1;"CAL284013"
"CA1000076";"Beral pipette";"ENCP50006412";1;"CAL284013"
"CA1000077";"Graduated cylinder";"ENCP50006413";1;"CAL284013"
"EU1000034";"Test tube";"ENCP40007101";1;"EUL941910"
"EU1000035";"Ring stands";"ENCP40007102";1;"EUL941910"
"EU1000036";"Clamps";"ENCP40007103";1;"EUL941910"
"EU1000037";"Thermometers";"ENCP40007104";1;"EUL941910"
"EU1000038";"Hotplates";"ENCP40007105";1;"EUL941910"
"EU1000039";"Periodic tables";"ENCP40007106";1;"EUL941910"
"EU1000040";"Glass and rubber tubes";"ENCP40007107";1;"EUL941910"
"EU1000041";"Corks";"ENCP40007108";1;"EUL941910"
"EU1000042";"Flasks";"ENCP40007109";1;"EUL941910"
"EU1000043";"Tapes";"ENCP40007110";1;"EUL941910"
"EU1000044";"Filters";"ENCP40007111";1;"EUL941910"
"EU1000045";"Pipets";"ENCP40007112";1;"EUL941910"
"EU1000046";"Syringes";"ENCP40007113";1;"EUL941910"
"EU1000047";"Beakers";"ENCP40007114";1;"EUL941910"
"EU1000048";"Funnels";"ENCP40007115";1;"EUL941910"
"EU1000049";"Flasks";"ENCP40007116";1;"EUL941910"
"EU1000050";"Scientific Goggles";"ENCP40007117";1;"EUL941910"
"EU1000051";"Lab coats";"ENCP40007201";1;"EUL941911"
"EU1000052";"Fire extinguisher";"ENCP40007202";1;"EUL941911"
"EU1000053";"Measuring weight";"ENCP40007203";1;"EUL941911"
"EU1000054";"Ph test strips";"ENCP40007204";1;"EUL941911"
"EU1000055";"Potassium";"ENCP40007205";1;"EUL941911"
"EU1000056";"Iron";"ENCP40007206";1;"EUL941911"
"EU1000057";"Carbon";"ENCP40007207";1;"EUL941911"
"EU1000058";"Crucibles";"ENCP40007208";1;"EUL941911"
"EU1000059";"Burets";"ENCP40007209";1;"EUL941911"
"EU1000060";"Scientific Calculator";"ENCP40007210";1;"EUL941911"
"EU1000061";"Clutches";"ENCP40007211";1;"EUL941911"
"EU1000062";"Joins";"ENCP40007212";1;"EUL941911"
"EU1000063";"Tongs";"ENCP40007213";1;"EUL941911"
"EU1000064";"Droppers";"ENCP40007214";1;"EUL941911"
"EU1000065";"Spatulas";"ENCP40007215";1;"EUL941911"
"EU1000066";"Scoopulas";"ENCP40007216";1;"EUL941911"
"EU1000067";"Utility clamp";"ENCP40007217";1;"EUL941911"
"EU1000068";"Ring clamp";"ENCP40007301";1;"EUL941912"
"EU1000069";"Fume hood";"ENCP40007302";1;"EUL941912"
"EU1000070";"Dropper pipets";"ENCP40007303";1;"EUL941912"
"EU1000071";"Pinch clamp";"ENCP40007304";1;"EUL941912"
"EU1000072";"Mercury";"ENCP40007305";1;"EUL941912"
"EU1000073";"Carbon";"ENCP40007306";1;"EUL941912"
"EU1000074";"Hydrogen";"ENCP40007307";1;"EUL941912"
"EU1000075";"Sodium";"ENCP40007308";1;"EUL941912"
"EU1000076";"Nitrogen";"ENCP40007309";1;"EUL941912"
"EU1000077";"Magnesium";"ENCP40007310";1;"EUL941912"
"EU1000078";"Chlorine";"ENCP40007311";1;"EUL941912"
"EU1000079";"Calcium";"ENCP40007312";1;"EUL941912"
"EU1000080";"Sulfur";"ENCP40007313";1;"EUL941912"
"EU1000081";"Arsenic";"ENCP40007314";1;"EUL941912"
"EU1000082";"Titanium";"ENCP40007315";1;"EUL941912"
"EU1000083";"Uranium";"ENCP40007316";1;"EUL941912"
"EU1000084";"Gallium";"ENCP40007317";1;"EUL941912"
"EU1000085";"Bromine";"ENCP40007401";1;"EUL941913"
"EU1000086";"Manganese";"ENCP40007402";1;"EUL941913"
"EU1000087";"Copper";"ENCP40007403";1;"EUL941913"
"EU1000088";"Zinc";"ENCP40007404";1;"EUL941913"
"EU1000089";"Cadmium";"ENCP40007405";1;"EUL941913"
"EU1000090";"Boron";"ENCP40007406";1;"EUL941913"
"EU1000091";"Indium";"ENCP40007407";1;"EUL941913"
"EU1000092";"Iodine";"ENCP40007408";1;"EUL941913"
"EU1000093";"Tin";"ENCP40007409";1;"EUL941913"
"EU1000094";"Lead";"ENCP40007410";1;"EUL941913"
"EU1000095";"Arsenic";"ENCP40007411";1;"EUL941913"
"EU1000096";"Helium";"ENCP40007412";1;"EUL941913"
"EU1000097";"Xenon";"ENCP40007413";1;"EUL941913"
"EU1000098";"Selenium";"ENCP40007414";1;"EUL941913"
"EU1000099";"Germanium";"ENCP40007415";1;"EUL941913"
"EU1000100";"Phosphorous";"ENCP40007416";1;"EUL941913"
"EU1000101";"Platinum";"ENCP40007417";1;"EUL941913"
"JA1000073";"Capacitors";"ENCP36007101";1;"JAL379510"
"JA1000074";"Nodes";"ENCP36007102";1;"JAL379510"
"JA1000075";"Breadboards";"ENCP36007103";1;"JAL379510"
"JA1000076";"Circuit Wires";"ENCP36007104";1;"JAL379510"
"JA1000077";"Transistors";"ENCP36007105";1;"JAL379510"
"JA1000078";"Microcontrollers";"ENCP36007106";1;"JAL379510"
"JA1000079";"Lasers";"ENCP36007107";1;"JAL379510"
"JA1000080";"Scientific Magnifiers";"ENCP36007108";1;"JAL379510"
"JA1000081";"Optics";"ENCP36007109";1;"JAL379510"
"JA1000082";"Scientific Goggles";"ENCP36007110";1;"JAL379510"
"JA1000083";"Lab coats";"ENCP36007111";1;"JAL379510"
